participant_id,name,email,domain,skills,experience_level,availability,leadership_preference,is_available,wants_to_lead
P_001,Participant_1,participant1@hackathon.com,frontend,"['Google Cloud', 'Vue.js', 'Communication', 'React', 'HTML']",beginner,High,Follow,True,True
P_002,Participant_2,participant2@hackathon.com,backend,"['Flask', 'Node.js', 'Django', 'Photoshop', 'Communication', 'Java']",intermediate,Medium,Follow,True,False
P_003,Participant_3,participant3@hackathon.com,data_science,"['Java', 'Leadership', 'SQL', 'Machine Learning', 'Communication', 'TensorFlow', 'PyTorch']",beginner,Low,Collaborate,True,True
P_004,Participant_4,participant4@hackathon.com,frontend,"['Django', 'Communication', 'Angular', 'Presentation', 'JavaScript', 'React', 'Java']",advanced,Medium,Lead,True,False
P_005,Participant_5,participant5@hackathon.com,ai_ml,"['Leadership', 'Computer Vision', 'Flutter', 'NLP', 'React Native', 'Scikit-learn', 'Teamwork']",advanced,High,Collaborate,True,False
P_006,Participant_6,participant6@hackathon.com,design,"['Prototyping', 'SQL', 'UI/UX', 'Photoshop', 'Machine Learning', 'Figma', 'Communication', 'Presentation']",intermediate,Medium,Lead,True,False
P_007,Participant_7,participant7@hackathon.com,design,"['Prototyping', 'SQL', 'UI/UX', 'Problem Solving', 'Photoshop', 'Machine Learning', 'Design Systems']",beginner,Low,Follow,True,False
P_008,Participant_8,participant8@hackathon.com,robotics,"['Sensors', 'Problem Solving', 'Google Cloud', 'IoT', 'Embedded Systems']",intermediate,Low,Follow,True,True
P_009,Participant_9,participant9@hackathon.com,frontend,"['Leadership', 'Product Management', 'Communication', 'CSS', 'Angular', 'Market Research', 'React', 'HTML']",intermediate,Medium,Collaborate,True,False
P_010,Participant_10,participant10@hackathon.com,frontend,"['Leadership', 'Flask', 'SQL', 'Communication', 'JavaScript', 'React', 'HTML']",beginner,Medium,Lead,True,False
P_011,Participant_11,participant11@hackathon.com,mobile,"['DevOps', 'iOS Development', 'Flutter', 'React Native', 'Docker', 'Presentation', 'Teamwork', 'Android Development']",advanced,High,Lead,True,False
P_012,Participant_12,participant12@hackathon.com,cloud_devops,"['AWS', 'Prototyping', 'DevOps', 'Google Cloud', 'Azure', 'Teamwork']",intermediate,Medium,Follow,True,True
P_013,Participant_13,participant13@hackathon.com,backend,"['Leadership', 'Python', 'Computer Vision', 'Node.js', 'Express.js', 'Teamwork']",intermediate,Low,Collaborate,False,False
P_014,Participant_14,participant14@hackathon.com,business,"['Product Management', 'Communication', 'Presentation', 'Market Research', 'Robotics']",advanced,High,Lead,True,False
P_015,Participant_15,participant15@hackathon.com,backend,"['Flask', 'SQL', 'Problem Solving', 'NLP', 'AI/ML']",beginner,High,Collaborate,True,True
P_016,Participant_16,participant16@hackathon.com,frontend,"['Leadership', 'Node.js', 'Angular', 'Presentation', 'JavaScript']",intermediate,Medium,Follow,True,True
P_017,Participant_17,participant17@hackathon.com,backend,"['Python', 'SQL', 'Django', 'Teamwork', 'Market Research', 'Java', 'Strategy']",intermediate,Low,Follow,True,False
P_018,Participant_18,participant18@hackathon.com,business,"['NLP', 'Product Management', 'Scikit-learn', 'AgriTech', 'Teamwork', 'FinTech']",beginner,High,Lead,True,True
P_019,Participant_19,participant19@hackathon.com,robotics,"['Arduino', 'Sensors', 'Problem Solving', 'Flutter', 'Embedded Systems', 'Presentation', 'Robotics']",intermediate,Medium,Follow,True,False
P_020,Participant_20,participant20@hackathon.com,data_science,"['SQL', 'Problem Solving', 'AI/ML', 'Scikit-learn', 'Presentation', 'Data Analysis', 'TensorFlow', 'PyTorch']",beginner,High,Lead,False,True
P_021,Participant_21,participant21@hackathon.com,business,"['iOS Development', 'Communication', 'Presentation', 'Market Research', 'Android Development', 'FinTech']",advanced,High,Lead,True,True
P_022,Participant_22,participant22@hackathon.com,frontend,"['Computer Vision', 'Problem Solving', 'Teamwork', 'JavaScript', 'Vue.js']",intermediate,Low,Follow,True,True
P_023,Participant_23,participant23@hackathon.com,cloud_devops,"['Leadership', 'DevOps', 'Google Cloud', 'Azure', 'Docker', 'Communication', 'Market Research', 'FinTech']",advanced,High,Collaborate,True,True
P_024,Participant_24,participant24@hackathon.com,frontend,"['UI/UX', 'Photoshop', 'Angular', 'Teamwork', 'JavaScript', 'React', 'Vue.js']",advanced,High,Lead,False,True
P_025,Participant_25,participant25@hackathon.com,backend,"['Leadership', 'Flask', 'SQL', 'Google Cloud', 'Azure', 'Presentation']",advanced,Low,Lead,True,True
P_026,Participant_26,participant26@hackathon.com,robotics,"['Sensors', 'Express.js', 'Django', 'IoT', 'Embedded Systems', 'Presentation', 'Robotics']",intermediate,Medium,Follow,False,False
P_027,Participant_27,participant27@hackathon.com,business,"['Prototyping', 'Product Management', 'Presentation', 'Teamwork', 'Strategy']",beginner,Medium,Lead,False,False
P_028,Participant_28,participant28@hackathon.com,cloud_devops,"['AWS', 'Leadership', 'DevOps', 'Google Cloud', 'Azure', 'Figma', 'Design Systems']",advanced,High,Follow,True,True
P_029,Participant_29,participant29@hackathon.com,backend,"['Leadership', 'Express.js', 'Django', 'Teamwork', 'TensorFlow', 'PyTorch']",intermediate,High,Lead,True,True
P_030,Participant_30,participant30@hackathon.com,ai_ml,"['Leadership', 'Computer Vision', 'Google Cloud', 'NLP', 'AI/ML', 'Docker', 'Scikit-learn', 'Teamwork']",intermediate,Low,Collaborate,False,True
P_031,Participant_31,participant31@hackathon.com,ai_ml,"['Prototyping', 'Photoshop', 'NLP', 'Scikit-learn', 'Presentation', 'Deep Learning']",beginner,Medium,Lead,True,False
P_032,Participant_32,participant32@hackathon.com,frontend,"['Problem Solving', 'Vue.js', 'JavaScript', 'Deep Learning', 'HTML']",intermediate,Low,Lead,True,True
P_033,Participant_33,participant33@hackathon.com,design,"['Prototyping', 'Photoshop', 'Figma', 'Communication', 'Presentation', 'TensorFlow', 'Design Systems']",advanced,Low,Collaborate,True,True
P_034,Participant_34,participant34@hackathon.com,ai_ml,"['Computer Vision', 'Problem Solving', 'iOS Development', 'React Native', 'Scikit-learn', 'Deep Learning']",beginner,High,Follow,True,True
P_035,Participant_35,participant35@hackathon.com,cloud_devops,"['AWS', 'Computer Vision', 'DevOps', 'Problem Solving', 'Azure', 'Scikit-learn', 'Presentation']",advanced,Low,Collaborate,True,False
P_036,Participant_36,participant36@hackathon.com,backend,"['Leadership', 'Flask', 'Python', 'SQL', 'Node.js', 'Problem Solving', 'Market Research', 'Strategy']",advanced,Low,Lead,False,False
P_037,Participant_37,participant37@hackathon.com,data_science,"['Computer Vision', 'Problem Solving', 'AI/ML', 'Machine Learning', 'Presentation', 'TensorFlow']",advanced,Medium,Lead,True,False
P_038,Participant_38,participant38@hackathon.com,data_science,"['SQL', 'Problem Solving', 'Google Cloud', 'Presentation', 'Data Analysis', 'TensorFlow', 'PyTorch']",advanced,Low,Collaborate,False,False
P_039,Participant_39,participant39@hackathon.com,mobile,"['Problem Solving', 'iOS Development', 'Photoshop', 'React Native', 'Android Development']",advanced,Low,Lead,False,True
P_040,Participant_40,participant40@hackathon.com,design,"['Python', 'SQL', 'Problem Solving', 'Photoshop', 'Figma', 'Design Systems']",advanced,Medium,Collaborate,True,False
P_041,Participant_41,participant41@hackathon.com,design,"['Leadership', 'UI/UX', 'Photoshop', 'Communication', 'TensorFlow', 'Design Systems']",intermediate,Low,Lead,False,True
P_042,Participant_42,participant42@hackathon.com,data_science,"['Problem Solving', 'Machine Learning', 'Teamwork', 'Data Analysis', 'Java']",beginner,Low,Follow,True,False
P_043,Participant_43,participant43@hackathon.com,robotics,"['AWS', 'Leadership', 'Arduino', 'IoT', 'Embedded Systems', 'Kubernetes', 'Presentation', 'Robotics']",beginner,Low,Lead,True,True
P_044,Participant_44,participant44@hackathon.com,data_science,"['Java', 'Leadership', 'SQL', 'Node.js', 'Communication', 'Data Analysis', 'TensorFlow']",advanced,Medium,Lead,True,False
P_045,Participant_45,participant45@hackathon.com,ai_ml,"['Leadership', 'SQL', 'Scikit-learn', 'Teamwork', 'Deep Learning']",intermediate,Low,Lead,True,False
P_046,Participant_46,participant46@hackathon.com,data_science,"['SQL', 'Problem Solving', 'Machine Learning', 'Teamwork', 'Deep Learning', 'TensorFlow', 'PyTorch']",advanced,Medium,Follow,False,False
P_047,Participant_47,participant47@hackathon.com,cloud_devops,"['AWS', 'Leadership', 'DevOps', 'Problem Solving', 'Google Cloud', 'AI/ML', 'Docker', 'Deep Learning']",intermediate,Low,Collaborate,False,True
P_048,Participant_48,participant48@hackathon.com,frontend,"['Problem Solving', 'Figma', 'Communication', 'Angular', 'JavaScript', 'React', 'HTML']",intermediate,High,Follow,False,False
P_049,Participant_49,participant49@hackathon.com,robotics,"['Arduino', 'Problem Solving', 'IoT', 'Embedded Systems', 'Robotics', 'Android Development']",advanced,High,Follow,False,True
P_050,Participant_50,participant50@hackathon.com,design,"['AWS', 'DevOps', 'Photoshop', 'Figma', 'Teamwork']",beginner,Low,Lead,True,False
P_051,Participant_51,participant51@hackathon.com,business,"['Leadership', 'iOS Development', 'Flutter', 'Product Management', 'AgriTech', 'Teamwork', 'Market Research', 'Strategy']",beginner,High,Collaborate,False,True
P_052,Participant_52,participant52@hackathon.com,frontend,"['Leadership', 'AI/ML', 'Teamwork', 'React', 'Vue.js']",beginner,Low,Lead,True,True
P_053,Participant_53,participant53@hackathon.com,backend,"['Leadership', 'Flask', 'SQL', 'Arduino', 'Express.js', 'Django', 'Embedded Systems', 'Communication']",advanced,Low,Lead,True,True
P_054,Participant_54,participant54@hackathon.com,frontend,"['Product Management', 'AgriTech', 'CSS', 'Angular', 'Presentation', 'Vue.js']",beginner,High,Collaborate,True,True
P_055,Participant_55,participant55@hackathon.com,frontend,"['Problem Solving', 'Communication', 'CSS', 'JavaScript', 'Strategy']",advanced,Medium,Collaborate,False,True
P_056,Participant_56,participant56@hackathon.com,robotics,"['Sensors', 'Arduino', 'IoT', 'Communication', 'CSS', 'JavaScript', 'Robotics']",beginner,Medium,Follow,True,True
P_057,Participant_57,participant57@hackathon.com,robotics,"['Sensors', 'Azure', 'Communication', 'Kubernetes', 'Presentation', 'Robotics']",advanced,Medium,Collaborate,True,True
P_058,Participant_58,participant58@hackathon.com,ai_ml,"['Computer Vision', 'Node.js', 'NLP', 'AI/ML', 'Scikit-learn', 'Communication', 'Presentation']",intermediate,High,Lead,True,False
P_059,Participant_59,participant59@hackathon.com,robotics,"['Prototyping', 'Arduino', 'UI/UX', 'Communication', 'Robotics']",beginner,Low,Follow,True,False
P_060,Participant_60,participant60@hackathon.com,frontend,"['Leadership', 'Azure', 'CSS', 'Angular', 'React', 'Vue.js']",beginner,Medium,Follow,False,False
P_061,Participant_61,participant61@hackathon.com,cloud_devops,"['Kubernetes', 'Teamwork', 'Azure', 'Vue.js']",beginner,Low,Lead,True,False
P_062,Participant_62,participant62@hackathon.com,data_science,"['IoT', 'Embedded Systems', 'Teamwork', 'Data Analysis', 'TensorFlow', 'PyTorch']",intermediate,Medium,Lead,False,False
P_063,Participant_63,participant63@hackathon.com,design,"['Prototyping', 'AWS', 'Photoshop', 'Figma', 'Communication', 'Kubernetes', 'Teamwork', 'Design Systems']",intermediate,High,Collaborate,True,True
P_064,Participant_64,participant64@hackathon.com,frontend,"['HTML', 'React Native', 'Communication', 'Angular', 'Teamwork', 'React', 'Vue.js']",advanced,High,Collaborate,True,False
P_065,Participant_65,participant65@hackathon.com,frontend,"['Leadership', 'PyTorch', 'Communication', 'CSS', 'Angular', 'JavaScript', 'Vue.js']",beginner,Low,Follow,True,False
P_066,Participant_66,participant66@hackathon.com,robotics,"['Sensors', 'DevOps', 'IoT', 'Embedded Systems', 'Communication', 'Kubernetes', 'Robotics']",advanced,Medium,Collaborate,True,False
P_067,Participant_67,participant67@hackathon.com,robotics,"['Sensors', 'IoT', 'Communication', 'Kubernetes', 'Presentation']",advanced,Medium,Collaborate,True,True
P_068,Participant_68,participant68@hackathon.com,design,"['Prototyping', 'Leadership', 'UI/UX', 'iOS Development', 'Photoshop', 'Figma', 'Communication']",intermediate,Medium,Lead,True,False
P_069,Participant_69,participant69@hackathon.com,business,"['React Native', 'Leadership', 'Market Research', 'Strategy']",beginner,Low,Follow,True,True
P_070,Participant_70,participant70@hackathon.com,frontend,"['Problem Solving', 'Vue.js', 'Docker', 'JavaScript', 'React', 'HTML']",beginner,Low,Lead,True,True
P_071,Participant_71,participant71@hackathon.com,mobile,"['Prototyping', 'Problem Solving', 'iOS Development', 'Flutter', 'React Native', 'Presentation', 'Android Development']",intermediate,High,Follow,True,True
P_072,Participant_72,participant72@hackathon.com,cloud_devops,"['AWS', 'Problem Solving', 'Azure', 'Communication', 'JavaScript', 'Vue.js']",beginner,High,Collaborate,True,True
P_073,Participant_73,participant73@hackathon.com,cloud_devops,"['Arduino', 'DevOps', 'Azure', 'Docker', 'Presentation', 'Robotics']",intermediate,High,Lead,False,False
P_074,Participant_74,participant74@hackathon.com,backend,"['Leadership', 'Python', 'SQL', 'Express.js', 'Google Cloud', 'Java']",intermediate,Low,Follow,False,True
P_075,Participant_75,participant75@hackathon.com,business,"['Leadership', 'Scikit-learn', 'AgriTech', 'Market Research', 'Deep Learning', 'FinTech']",intermediate,Low,Lead,False,False
P_076,Participant_76,participant76@hackathon.com,business,"['Product Management', 'Machine Learning', 'AgriTech', 'Communication', 'Presentation', 'Market Research', 'TensorFlow', 'Strategy']",beginner,Low,Follow,True,False
P_077,Participant_77,participant77@hackathon.com,cloud_devops,"['AWS', 'Problem Solving', 'iOS Development', 'Flutter', 'Kubernetes', 'Presentation']",intermediate,Medium,Follow,True,True
P_078,Participant_78,participant78@hackathon.com,backend,"['Python', 'SQL', 'Express.js', 'Azure', 'Docker', 'Teamwork']",advanced,High,Lead,True,False
P_079,Participant_79,participant79@hackathon.com,robotics,"['Arduino', 'Sensors', 'SQL', 'Problem Solving', 'IoT', 'Robotics']",intermediate,Medium,Collaborate,True,False
P_080,Participant_80,participant80@hackathon.com,data_science,"['Arduino', 'Machine Learning', 'Teamwork', 'Data Analysis', 'Robotics', 'TensorFlow', 'PyTorch']",beginner,High,Lead,True,False
P_081,Participant_81,participant81@hackathon.com,cloud_devops,"['SQL', 'Express.js', 'Google Cloud', 'Azure', 'Docker', 'Teamwork']",intermediate,High,Follow,True,True
P_082,Participant_82,participant82@hackathon.com,frontend,"['Google Cloud', 'Azure', 'CSS', 'Angular', 'Teamwork', 'React']",advanced,High,Follow,True,False
P_083,Participant_83,participant83@hackathon.com,backend,"['Leadership', 'Python', 'Flask', 'Express.js', 'Node.js', 'Azure', 'Kubernetes', 'Presentation']",beginner,Low,Lead,False,False
P_084,Participant_84,participant84@hackathon.com,frontend,"['Express.js', 'CSS', 'Teamwork', 'JavaScript', 'React']",beginner,Medium,Lead,True,False
P_085,Participant_85,participant85@hackathon.com,robotics,"['AWS', 'Problem Solving', 'Embedded Systems', 'Communication', 'Kubernetes', 'Robotics']",beginner,Medium,Follow,True,True
P_086,Participant_86,participant86@hackathon.com,frontend,"['React', 'Prototyping', 'Communication', 'CSS']",advanced,Low,Collaborate,True,True
P_087,Participant_87,participant87@hackathon.com,mobile,"['Problem Solving', 'iOS Development', 'Flutter', 'Google Cloud', 'React Native', 'Kubernetes', 'Presentation', 'Android Development']",beginner,Low,Collaborate,True,True
P_088,Participant_88,participant88@hackathon.com,business,"['Market Research', 'Data Analysis', 'Communication', 'Strategy']",beginner,Low,Lead,True,True
P_089,Participant_89,participant89@hackathon.com,data_science,"['SQL', 'UI/UX', 'Photoshop', 'Machine Learning', 'Communication', 'Data Analysis', 'TensorFlow']",intermediate,High,Collaborate,True,True
P_090,Participant_90,participant90@hackathon.com,data_science,"['UI/UX', 'Problem Solving', 'Data Analysis', 'PyTorch']",intermediate,Medium,Follow,True,True
P_091,Participant_91,participant91@hackathon.com,mobile,"['Leadership', 'DevOps', 'Flutter', 'React Native', 'Kubernetes', 'Android Development']",advanced,Low,Collaborate,True,False
P_092,Participant_92,participant92@hackathon.com,mobile,"['iOS Development', 'Product Management', 'Communication', 'Android Development', 'Strategy']",advanced,High,Collaborate,True,True
P_093,Participant_93,participant93@hackathon.com,frontend,"['AWS', 'Google Cloud', 'Angular', 'Teamwork', 'HTML']",advanced,Medium,Follow,True,False
P_094,Participant_94,participant94@hackathon.com,frontend,"['Leadership', 'NLP', 'AI/ML', 'Angular', 'Vue.js']",beginner,High,Collaborate,False,False
P_095,Participant_95,participant95@hackathon.com,mobile,"['iOS Development', 'Flutter', 'React Native', 'Communication', 'CSS', 'Teamwork', 'Android Development']",advanced,Medium,Collaborate,True,True
P_096,Participant_96,participant96@hackathon.com,ai_ml,"['Computer Vision', 'Flutter', 'AI/ML', 'Scikit-learn', 'Communication', 'Presentation', 'Android Development']",beginner,High,Collaborate,True,False
P_097,Participant_97,participant97@hackathon.com,design,"['Prototyping', 'Leadership', 'Arduino', 'Photoshop', 'IoT', 'Design Systems']",intermediate,Low,Collaborate,False,True
P_098,Participant_98,participant98@hackathon.com,data_science,"['AWS', 'SQL', 'Problem Solving', 'Data Analysis', 'TensorFlow', 'PyTorch']",beginner,Low,Lead,False,False
P_099,Participant_99,participant99@hackathon.com,mobile,"['Leadership', 'Photoshop', 'React Native', 'Communication', 'Android Development']",intermediate,Low,Follow,True,True
P_100,Participant_100,participant100@hackathon.com,data_science,"['SQL', 'Problem Solving', 'Machine Learning', 'CSS', 'Teamwork', 'JavaScript', 'TensorFlow', 'PyTorch']",advanced,High,Lead,True,False
P_101,Participant_101,participant101@hackathon.com,frontend,"['AgriTech', 'CSS', 'Angular', 'Communication', 'React', 'HTML']",advanced,Low,Collaborate,True,False
P_102,Participant_102,participant102@hackathon.com,business,"['Photoshop', 'Product Management', 'Communication', 'Market Research', 'Design Systems']",beginner,Medium,Collaborate,True,True
P_103,Participant_103,participant103@hackathon.com,backend,"['Java', 'Teamwork', 'SQL', 'PyTorch']",beginner,High,Collaborate,False,False
P_104,Participant_104,participant104@hackathon.com,ai_ml,"['Computer Vision', 'Express.js', 'Django', 'NLP', 'AI/ML', 'Communication', 'Presentation', 'Deep Learning']",beginner,Medium,Collaborate,False,False
P_105,Participant_105,participant105@hackathon.com,data_science,"['SQL', 'Problem Solving', 'Node.js', 'Communication', 'Data Analysis', 'TensorFlow', 'PyTorch']",advanced,Medium,Lead,True,False
P_106,Participant_106,participant106@hackathon.com,data_science,"['TensorFlow', 'Teamwork', 'SQL', 'Express.js']",intermediate,High,Follow,True,True
P_107,Participant_107,participant107@hackathon.com,mobile,"['iOS Development', 'Flutter', 'React Native', 'Communication', 'Teamwork', 'TensorFlow', 'Android Development']",intermediate,Low,Lead,False,False
P_108,Participant_108,participant108@hackathon.com,design,"['UI/UX', 'Photoshop', 'Teamwork', 'JavaScript', 'Design Systems']",intermediate,Medium,Follow,True,False
P_109,Participant_109,participant109@hackathon.com,backend,"['Leadership', 'Python', 'SQL', 'NLP', 'Presentation', 'Deep Learning', 'Java']",intermediate,High,Follow,True,False
P_110,Participant_110,participant110@hackathon.com,backend,"['Flask', 'Python', 'Django', 'Photoshop', 'Teamwork', 'Java', 'Design Systems']",beginner,High,Follow,False,False
P_111,Participant_111,participant111@hackathon.com,robotics,"['AWS', 'IoT', 'Azure', 'Embedded Systems', 'Teamwork']",advanced,High,Collaborate,True,True
P_112,Participant_112,participant112@hackathon.com,mobile,"['iOS Development', 'Flutter', 'React Native', 'Presentation', 'Android Development', 'PyTorch']",beginner,Medium,Collaborate,True,False
P_113,Participant_113,participant113@hackathon.com,business,"['Leadership', 'Sensors', 'Problem Solving', 'Embedded Systems', 'Market Research', 'FinTech']",advanced,Medium,Collaborate,True,True
P_114,Participant_114,participant114@hackathon.com,data_science,"['Machine Learning', 'Embedded Systems', 'Communication', 'Data Analysis', 'Robotics', 'TensorFlow', 'PyTorch']",advanced,High,Collaborate,False,False
P_115,Participant_115,participant115@hackathon.com,mobile,"['iOS Development', 'Flutter', 'React Native', 'Teamwork', 'TensorFlow', 'Android Development']",advanced,High,Lead,True,False
P_116,Participant_116,participant116@hackathon.com,business,"['Leadership', 'UI/UX', 'Problem Solving', 'Photoshop', 'Market Research', 'FinTech']",beginner,High,Lead,False,False
P_117,Participant_117,participant117@hackathon.com,design,"['Teamwork', 'Photoshop', 'Flask', 'Design Systems']",intermediate,Low,Follow,False,False
